rank,music,main_artist,year,featuring1,featuring2,photo
17,So Sick,Ne-Yo,2006,,,https://charts-static.billboard.com/img/2005/10/ne-yo-kuu-53x53.jpg
18,It's Goin' Down,Yung Joc,2006,,,https://charts-static.billboard.com/img/2006/01/yung-joc-f7d-53x53.jpg
19,SOS,Rihanna,2006,,,https://charts-static.billboard.com/img/2005/06/rihanna-t38-53x53.jpg
20,I Write Sins Not Tragedies,Panic! At The Disco,2006,,,https://charts-static.billboard.com/img/2006/02/panic-at-the-disco-yl6-53x53.jpg
21,Move Along,The All-American Rejects,2006,,,https://charts-static.billboard.com/img/2005/07/the-all-american-rejects-yky-53x53.jpg
22,London Bridge,Fergie,2006,,,https://charts-static.billboard.com/img/2006/07/fergie-8pu-53x53.jpg
23,Dani California,Red Hot Chili Peppers,2006,,,https://charts-static.billboard.com/img/1984/09/red-hot-chili-peppers-v42-53x53.jpg
24,Snap Yo Fingers,Lil Jon,2006,E-40,Sean Paul Of The YoungBloodZ,https://charts-static.billboard.com/img/2005/12/lil-jon-cje-53x53.jpg
25,"Lean Wit It, Rock Wit It",Dem Franchize Boyz,2006,Lil Peanut,Charlay,https://charts-static.billboard.com/img/2005/11/dem-franchize-boyz-a35-53x53.jpg
26,What Hurts The Most,Rascal Flatts,2006,,,https://charts-static.billboard.com/img/2006/01/rascal-flatts-o8u-53x53.jpg
27,How To Save A Life,The Fray,2006,,,https://charts-static.billboard.com/img/2016/11/the-fray-53x53.jpg
28,Unfaithful,Rihanna,2006,,,https://charts-static.billboard.com/img/2005/06/rihanna-t38-53x53.jpg
29,Chasing Cars,Snow Patrol,2006,,,https://charts-static.billboard.com/img/1840/12/snow-patrol-45e-53x53.jpg
30,Lips Of An Angel,Hinder,2006,,,https://charts-static.billboard.com/img/2006/04/hinder-iwo-53x53.jpg
31,Everytime We Touch,Cascada,2006,,,https://charts-static.billboard.com/img/2005/09/cascada-tir-53x53.jpg
32,Ain't No Other Man,Christina Aguilera,2006,,,https://charts-static.billboard.com/img/2006/06/christina-aguilera-9ag-53x53.jpg
33,"Dance, Dance",Fall Out Boy,2006,,,https://charts-static.billboard.com/img/2005/10/fall-out-boy-zhw-53x53.jpg
34,Gold Digger,Kanye West,2006,Jamie Foxx,,https://charts-static.billboard.com/img/2005/07/kanye-west-nwz-gold-digger-g7e-53x53.jpg
35,Money Maker,Ludacris,2006,Pharrell,,https://charts-static.billboard.com/img/2006/07/ludacris-5cn-53x53.jpg
36,Ms. New Booty,Bubba Sparxxx,2006,Ying Yang Twins,Mr. ColliPark,https://charts-static.billboard.com/img/2005/12/bubba-sparxxx-y2o-53x53.jpg
37,(When You Gonna) Give It Up To Me,Sean Paul,2006,Keyshia Cole,,https://charts-static.billboard.com/img/2006/04/sean-paul-uyx-53x53.jpg
38,Photograph,Nickelback,2006,,,https://charts-static.billboard.com/img/2017/07/nickelback-53x53.jpg
39,Because Of You,Kelly Clarkson,2006,,,https://charts-static.billboard.com/img/2005/08/kelly-clarkson-091-53x53.jpg
40,Stickwitu,The Pussycat Dolls,2006,,,https://charts-static.billboard.com/img/2005/10/the-pussycat-dolls-t1l-53x53.jpg
41,I'm N Luv (Wit A Stripper),T-Pain,2006,Mike Jones,,https://charts-static.billboard.com/img/2005/12/t-pain-kj8-53x53.jpg
42,My Humps,The Black Eyed Peas,2006,,,https://charts-static.billboard.com/img/1998/07/the-black-eyed-peas-b9u-53x53.jpg
43,Where'd You Go,Fort Minor,2006,Holly Brook,,https://charts-static.billboard.com/img/2006/04/fort-minor-57z-53x53.jpg
44,Yo (Excuse Me Miss),Chris Brown,2006,,,https://charts-static.billboard.com/img/2005/07/chris-brown-abf-53x53.jpg
45,Walk Away,Kelly Clarkson,2006,,,https://charts-static.billboard.com/img/2005/12/kelly-clarkson-091-53x53.jpg
