rank,music,main_artist,year,featuring1,featuring2,photo,id_music,id_position,danceability,energy,loudness,speechiness,acousticness,instrumentalness,tempo,uri,duration_ms
46,Laffy Taffy,D4L,2006,,,https://charts-static.billboard.com/img/2005/07/d4l-ba3-53x53.jpg,2ajhenDRiiAnCHHjsIOHhJ,45,0.891,0.439,-7.994,0.428,0.0351,0.0,77.499,spotify:track:2ajhenDRiiAnCHHjsIOHhJ,224253.0
47,What You Know,T.I.,2006,,,https://charts-static.billboard.com/img/2006/02/ti-e27-53x53.jpg,0CAJdthKDdRjB2h8YOguN6,46,0.551,0.81,-4.365,0.0344,0.0155,0.0,73.464,spotify:track:0CAJdthKDdRjB2h8YOguN6,274333.0
48,Dirty Little Secret,The All-American Rejects,2006,,,https://charts-static.billboard.com/img/2005/07/the-all-american-rejects-yky-53x53.jpg,5lDriBxJd22IhOH9zTcFrV,47,0.465,0.954,-4.251,0.044,0.000346,5.38e-06,143.85,spotify:track:5lDriBxJd22IhOH9zTcFrV,193653.0
49,Savin' Me,Nickelback,2006,,,https://charts-static.billboard.com/img/2006/02/nickelback-v3l-savin-me-ydr-53x53.jpg,4Gd9PUEuOTOJtbgd4YxLXM,48,0.441,0.815,-4.088,0.0276,0.000731,0.0,164.021,spotify:track:4Gd9PUEuOTOJtbgd4YxLXM,219320.0
50,Don't Forget About Us,Mariah Carey,2006,,,https://charts-static.billboard.com/img/2005/10/mariah-carey-tgq-53x53.jpg,,49,,,,,,,,,
51,Sexy Love,Ne-Yo,2006,,,https://charts-static.billboard.com/img/2006/06/ne-yo-kuu-sexy-love-yc3-53x53.jpg,10aWGOqSDBqvNzJ9NeKDbK,50,0.693,0.516,-6.446,0.0413,0.297,0.000127,94.02,spotify:track:10aWGOqSDBqvNzJ9NeKDbK,220853.0
52,U And Dat,E-40,2006,T-Pain,Kandi Girl,https://charts-static.billboard.com/img/2006/04/e-40-gbj-53x53.jpg,,51,,,,,,,,,
53,Far Away,Nickelback,2006,,,https://charts-static.billboard.com/img/2006/01/nickelback-5lu-53x53.jpg,0ADZ5dmXhlfzjMw6lefoPl,52,0.518,0.797,-5.153,0.0309,0.000696,0.0,132.915,spotify:track:0ADZ5dmXhlfzjMw6lefoPl,238173.0
54,What's Left Of Me,Nick Lachey,2006,,,https://charts-static.billboard.com/img/2006/03/nick-lachey-lm6-53x53.jpg,1bPqAXwNiVcM6zjJU1Z4Cd,53,0.421,0.728,-5.644,0.035,0.136,0.0,150.12,spotify:track:1bPqAXwNiVcM6zjJU1Z4Cd,244667.0
55,So What,Field Mob,2006,Ciara,,https://charts-static.billboard.com/img/2006/03/field-mob-vkl-53x53.jpg,,54,,,,,,,,,
